,OrderNumber,UseType,FacilityID,FacilityLongitude,FacilityLatitude,CustomerZIP,TotalPaid,StartDate,EndDate,NumberOfPeople,Tent,Popup,Trailer,RVMotorhome,Boat,Car,FifthWheel,Van,CanoeKayak,BoatTrailer,PowerBoat,PickupCamper,LargeTentOver9x12,SmallTent,CustomerLatitude,CustomerLongitude,LengthOfStay
389,1-5456300,Overnight,234043,-92.5569,36.0731,72903,89.0,2007-05-24,2007-05-28,6,,,,,,1.0,,,,,,,,,35.35,-94.35,4
390,1-5456305,Overnight,234043,-92.5569,36.0731,72903,89.0,2007-05-24,2007-05-28,6,,,,,,1.0,,,,,,,,,35.35,-94.35,4
391,1-5456453,Overnight,234044,-90.9831,36.9625,38222,60.0,2007-05-25,2007-05-28,4,,,,,,1.0,,,,,,,,,36.4,-88.2,3
392,1-5456598,Overnight,234038,-103.304,29.275,75204,29.0,2007-03-12,2007-03-14,4,,,,,,1.0,,,,,,,,,32.8,-96.79,2
393,1-5456844,Overnight,234177,-122.351,44.5858,97321,130.0,2007-06-30,2007-07-04,35,,,,,,1.0,,,,,,,,,44.6,-123.2,4
394,1-5457887,Day,234074,-122.51,44.7575,97005,340.0,2007-06-28,2007-07-01,15,1.0,,,,,1.0,,,,,,,,,45.5,-122.8,3
395,1-5457910,Overnight,234035,-102.961,29.1825,76048,19.0,2007-03-11,2007-03-15,2,,,,,,1.0,,,,,,,,,32.4,-97.8,4
396,1-5458332,Overnight,234058,-112.167,37.6344,93447,59.0,2007-05-26,2007-05-31,2,,,1.0,,,,,,,,,,,,,,5
397,1-5458528,Overnight,234063,-118.69,47.9268,98270,49.0,2007-05-25,2007-05-29,4,,,,,,1.0,,,,,,,,,48.06,-122.16,4
398,1-5458636,Overnight,234063,-118.69,47.9268,98270,39.0,2007-05-25,2007-05-28,4,,,,,,1.0,,,,,,,,,48.06,-122.16,3
399,1-5458940,Overnight,234047,-96.9897,34.4289,73068,75.0,2007-05-25,2007-05-28,4,,,,,,1.0,,,,,,,,,35.1,-97.3,3
400,1-5459031,Overnight,234063,-118.69,47.9268,99103,39.0,2007-05-25,2007-05-28,10,,,,,,1.0,,,,,,,,,47.7,-119.0,3
401,1-5459259,Overnight,234063,-118.69,47.9268,99185,39.0,2007-05-25,2007-05-28,10,,,,,,1.0,,,,,,,,,47.7,-118.7,3
402,1-5459263,Overnight,234063,-118.69,47.9268,99185,39.0,2007-05-25,2007-05-28,8,,,,,,1.0,,,,,,,,,47.7,-118.7,3
403,1-5459265,Day,234074,-122.51,44.7575,97303,230.0,2007-08-16,2007-08-18,60,,,,,,1.0,,,,,,,,,45.03,-123.01,2
404,1-5459448,Overnight,234038,-103.304,29.275,78610,49.0,2007-04-05,2007-04-09,6,,,,,,1.0,,,,,,,,,30.1,-97.8,4
405,1-5459472,Overnight,234038,-103.304,29.275,78610,49.0,2007-03-15,2007-03-19,6,,,,,,1.0,,,,,,,,,30.1,-97.8,4
406,1-5459667,Overnight,234038,-103.304,29.275,35229-2237,19.0,2007-03-18,2007-03-24,12,,,,,,1.0,,,,,,,,,33.464,-86.799,6
407,11-5329886,Overnight,232472,-116.156,34.12,91601,20.0,2007-01-27,2007-01-28,7,,,,,,1.0,,,,,,,,,34.17,-118.37,1
408,11-5329887,Overnight,232472,-116.156,34.12,92679,40.0,2007-01-26,2007-01-28,20,,,,,,1.0,,,,,,,,,33.6,-117.5,2
409,11-5329890,Overnight,232472,-116.156,34.12,91601,105.0,2007-02-02,2007-02-05,52,,,,,,1.0,,,,,,,,,34.17,-118.37,3
410,11-5329894,Overnight,232472,-116.156,34.12,91741,105.0,2007-02-02,2007-02-05,15,,,,,,1.0,,,,,,,,,34.16,-117.84,3
411,11-5329896,Overnight,232472,-116.156,34.12,92679,40.0,2007-01-26,2007-01-28,20,,,,,,1.0,,,,,,,,,33.6,-117.5,2
412,11-5329897,Overnight,232472,-116.156,34.12,91601,60.0,2007-02-02,2007-02-05,15,,,,,,1.0,,,,,,,,,34.17,-118.37,3
413,11-5329902,Overnight,232472,-116.156,34.12,92679,70.0,2007-01-26,2007-01-28,60,,,,,,1.0,,,,,,,,,33.6,-117.5,2
414,11-5329905,Overnight,232472,-116.156,34.12,91601,60.0,2007-02-02,2007-02-05,20,,,,,,1.0,,,,,,,,,34.17,-118.37,3
415,11-5329908,Overnight,232472,-116.156,34.12,91741,60.0,2007-02-02,2007-02-05,20,,,,,,1.0,,,,,,,,,34.16,-117.84,3
416,11-5329911,Overnight,232472,-116.156,34.12,91759,60.0,2007-02-02,2007-02-05,25,,,,,,1.0,,,,,,,,,34.237,-117.658,3
417,11-5329913,Overnight,232495,-80.9417,25.1386,40422,64.0,2007-02-02,2007-02-06,2,,,,,,1.0,,,,,,,,,37.6,-84.8,4
418,11-5329919,Overnight,232472,-116.156,34.12,91601,60.0,2007-02-02,2007-02-05,20,,,,,,1.0,,,,,,,,,34.17,-118.37,3
419,11-5329924,Overnight,232472,-116.156,34.12,90042,20.0,2007-01-27,2007-01-28,25,,,,,,1.0,,,,,,,,,34.11,-118.19,1
420,11-5329925,Overnight,232472,-116.156,34.12,91001,60.0,2007-02-02,2007-02-05,15,,,,,,1.0,,,,,,,,,34.22,-118.13,3
421,11-5329934,Overnight,232495,-80.9417,25.1386,80223,32.0,2007-02-02,2007-02-04,2,,,,,,1.0,,,,,,,,,39.69,-105.0,2
422,11-5329935,Overnight,232495,-80.9417,25.1386,80223,32.0,2007-02-02,2007-02-04,2,,,,,,1.0,,,,,,,,,39.69,-105.0,2
423,11-5329951,Overnight,232470,-116.118,33.9992,90404,100.0,2007-01-24,2007-01-29,24,,,,,,1.0,,,,,,,,,34.03,-118.47,5
424,11-5330024,Overnight,232470,-116.118,33.9992,92374,70.0,2007-02-02,2007-02-04,7,,,,,,1.0,,,,,,,,,34.06,-117.18,2
425,11-5330037,Overnight,232470,-116.118,33.9992,90605,20.0,2007-02-03,2007-02-04,7,,,,,,1.0,,,,,,,,,33.95,-118.02,1
426,11-5330238,Overnight,232496,-116.868,36.4631,92708,36.0,2007-01-28,2007-02-01,2,,,,,,1.0,,,,,,,,,33.71,-117.95,4
427,11-5330314,Overnight,232496,-116.868,36.4631,90503,36.0,2007-01-28,2007-02-01,2,,,,,,1.0,,,,,,,,,33.84,-118.35,4
428,11-5330387,Overnight,232496,-116.868,36.4631,89052,18.0,2007-01-26,2007-01-28,4,,,,,,1.0,,,,,,,,,35.98,-115.1,2
429,11-5330629,Overnight,232496,-116.868,36.4631,95946,54.0,2007-01-28,2007-02-01,2,,,,,,1.0,,,,,,,,,39.2,-121.2,4
430,11-5331768,Overnight,232496,-116.868,36.4631,95014,63.0,2007-01-24,2007-01-31,2,,,,,,1.0,,,,,,,,,37.3,-122.07,7
431,11-5332131,Overnight,232496,-116.868,36.4631,V9M 3S1,36.0,2007-02-02,2007-02-04,1,,,,,,1.0,,,,,,,,,,,2
432,11-5332875,Overnight,232496,-116.868,36.4631,89436,162.0,2007-01-22,2007-01-31,2,,,,,,1.0,,,,,,,,,39.61,-119.71,9
433,11-5333222,Overnight,232495,-80.9417,25.1386,37738,112.0,2007-01-20,2007-01-27,2,,,,,,1.0,,,,,,,,,35.7,-83.5,7
434,11-5334294,Overnight,232496,-116.868,36.4631,08088,18.0,2007-01-31,2007-02-01,2,,,,,,1.0,,,,,,,,,39.8,-74.7,1
